"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
17947599309035996,17841407868310918,kan_news,"כאן חדשות","""צעקות הכאב התחלפו פתאום במבט אפאטי"" 👇

חופשה משפחתית בצימר בצפון הסתיימה בחדר המיון, לאחר שילדה בת 8 מבית שמש נשאבה בעוצמה אל פתח השאיבה של הג'קוזי. מכסה הפתח נשלף במים, עוצמת הוואקום מנעה מבני המשפחה לנתק אותה וכפתורי הכיבוי לא פעלו. רק לאחר שהאב ניתק את כבל החשמל הופסקה השאיבה, והילדה פונתה להדסה עין כרם עם דימום תת-עורי נרחב וקשיי נשימה.

בבית החולים נערכו לה בדיקות מקיפות מחשש לפגיעה בשרירים, בעצמות ובאיברים פנימיים. ""לאור הממצא החריג על פני העור, היה חשש שמהוואקום שנוצר נגרמה פגיעה גם בעצמות, בשרירים או אפילו בריאות"", סיפרה ד""ר נורית פיינשטיין מהמחלקה לרפואה דחופה בבית החולים. לאחר טיפול, שיכוך כאבים וייעוץ של כירורג פלסטי, היא שוחררה לביתה למעקב. הוריה הזהירו: ""זה קריטי להכיר את מערכת השאיבה ולבדוק מראש אם יש חלקים שנשלפים""

@veredpelman 
צילום גב הילדה עם הפגיעה הנרחבת: דוברות בית החולים הדסה",0,"07/30/2026 02:37",https://www.instagram.com/p/DbaYkZAjPSp/,"IG image",,Lifetime,476465,268631,2940,2166,13,127,231
18111215704977089,17841464234747957,kan_reshetb,"כאן רשת ב","רעידת אדמה בשידור חי ברשת ב': ערן סיקורל התכוון לשוחח עם ימית איתיאל לזר, הנספחת הכלכלית של ישראל בקולומביה, על השיפור ביחסים בין המדינות - אבל באמצע הריאיון החלה רעידת אדמה חזקה",33,"08/10/2026 07:51",https://www.instagram.com/reel/Db3Q_VGsv0q/,"IG reel",,Lifetime,1446,0,26,0,0,0,0
17976872681905206,17841407868310918,kan_news,"כאן חדשות","לפחות 20 הרוגים: רעידת אדמה קטלנית בקולומביה 

@ramelibrandts",17,"08/10/2026 07:15",https://www.instagram.com/reel/Db3NIwADQlI/,"IG reel",,Lifetime,16748,8530,203,0,0,14,12
17896697595373659,17841407868310918,kan_news,"כאן חדשות","⁨	קולומביה: רעידת אדמה בעוצמה 7.4 בסולם ריכטר הורגשה במדינה, כך זה נראה באולפן הרדיו של תחנת Blu Radio

‪@ramelibrandts‬ts⁩",19,"08/10/2026 06:26",https://www.instagram.com/reel/Db3Hgj3nFQx/,"IG reel",,Lifetime,16346,9292,162,0,0,2,8
17867060628639623,17841407868310918,kan_news,"כאן חדשות","שארל שרתוני, העיתונאי שיצא נגד חיזבאללה ונאלץ להימלט מלבנון: ""לא מוכנים להיות קורבנים של מדיניות חיזבאללה""

Roi Kais",66,"08/10/2026 06:21",https://www.instagram.com/reel/Db3G3GoDwPj/,"IG reel",,Lifetime,5359,3418,98,0,0,1,2
18170489170434907,17841407868310918,kan_news,"כאן חדשות","איאן מוניר אבו עמאר, בן 5 מלקייה, טבע בשבוע שעבר בבריכה ציבורית - והיום נקבע מותו. משפחתו בחרה לתרום את איבריו, וכך ניצלו חייהם של שבעה חולים

@itsik_z",0,"08/10/2026 05:40",https://www.instagram.com/p/Db3CUAdjlBI/,"IG image",,Lifetime,47655,23426,823,106,1,54,21
17965763856136409,17841407868310918,kan_news,"כאן חדשות","רב""ט רועי זיו ניר, בן 20, נמצא ללא רוח חיים בבסיס בדרום הארץ. מצ""ח פתחה בחקירה

@itayblumental @carmela_menashe",0,"08/10/2026 05:40",https://www.instagram.com/p/Db3COdxFgEv/,"IG image",,Lifetime,36041,16237,906,55,0,43,11
17963762114960365,17841407868310918,kan_news,"כאן חדשות","⁨סגן אלוף ח' מיחידת יהל""ם על חילוץ ששת החטופים שנרצחו: ""אחד הרגעים הקשים שהיו לי""

@chen_beyar",45,"08/10/2026 04:34",https://www.instagram.com/reel/Db26npJE_zz/,"IG reel",,Lifetime,12148,8016,410,6,0,12,19
18112046053968119,17841407868310918,kan_news,"כאן חדשות","אף אחד לא מתעסק עם גמדון בית חופשי 🧦

כבל חשמל תת-ימי בשווי 430 מיליון ליש""ט, שמחבר בין בריטניה לאירלנד, תוכנן לעבור באזור ""קברו"" של דובי, הדמות מספרי וסרטי ""הארי פוטר"", בחוף במחוז פמברוקשייר שבוויילס. מאות פניות של מעריצי הסדרה גרמו למתכנני הפרויקט לשנות את המסלול.

ודובי לא היה המכשול היחיד: במהלך הבדיקות התברר שהתוואי נמצא בסמוך גם לשרידים מתקופת הברונזה. שינוי המסלול נעשה עוד בשלב התכנון, אתר ההנצחה נשאר במקומו, ודובי נשאר גמדון חופשי ✨

@itamar.margalit 
📸: BBC, Alamy/Warner Bros",0,"08/10/2026 03:46",https://www.instagram.com/p/Db21NVrlgM8/,"IG image",,Lifetime,79066,39558,1521,416,3,6,77
18161393275484494,17841407868310918,kan_news,"כאן חדשות","""פחות רגשות בבקשה, הם גורמים למוח שלי להתפוצץ"": וויל שאקין, חייל בודד ששירת בגולני וסבל מפוסט טראומה, שם קץ לחייו👇

שאקין, גדל בניו יורק והחליט לעלות לארץ לאחר 7 באוקטובר. הוא התגייס לגדוד 13 במסגרת מסלול מח""ל ובמהלך המלחמה שירת בעזה ואיבד חברים שלחמו לצידו, דבר שהשפיע מאוד על מצבו הנפשי. וויל גר במהלך השירות בבית של בנג'י, מרכז דיור לחיילים בודדים, וכשסיים את השירות בצוות המרכז הבינו שאינם יכולים לקחת אחריות על מצבו נפשי הקשה ויצרו קשר עם הוריו

וויל חזר עם מלווה צמוד עד לטיסה לניו יורק מחשש שיפגע בעצמו, אך הליווי הצמוד שקיבל מצה""ל ומשרד הביטחון בארץ הסתיים כאשר הגיע לארה""ב

בשיחת וואטסאפ שניהל עם חברו לאחרונה ניכרו סימני המאבק שלו עם הפוסט טראומה: ""חבר שלי מהמחלקה נהרג, אני רועד מטראומות מהמילואים, הייתי חייב לטוס הביתה. פשוט איבדתי את זה. פחות רגשות בבקשה, הם גורמים למוח שלי להתפוצץ"". וויל שם קץ לחייו בניו יורק

חיים מייזליש, מתנדב מעמותת ""ניווט"" שתומכת בחיילים בודדים מתמודדי נפש בניו יורק, והכיר אישית את שאקין, סיפר: ""הוא לא הוכר כפוסט טראומטי בזמן שירותו ולא קיבל ליווי או תמיכה מהמערכת בזמן אמת, ולכן הוא לא נשאר בארץ"". הוא הוסיף כי ""בשביל שיכירו בו כהלום קרב, במשרד הביטחון דרשו שיחזור לישראל ויהיה פה בזמן הוועדות, מה שהיה מחייב אותו להיות רחוק מהמשפחה וממערכת התמיכה שלו – וזה פשוט לא היה אפשרי""

הוריו של וויל  ביקשו להביא את בנם לקבורה בישראל: ""הם אומרים שהוא נפצע בצבא - ולכן צריך להיקבר בהר הרצל כמו הגיבור שהיה"", הסביר מייזלש. אבל הבקשה של המשפחה כרוכה בשלב זה במאבק משפטי וציבורי מול משרד הביטחון, שכן וויל לא הוגדר כהלום קרב, מה שלא מאפשר על פי חוק להביא אותו לקבורה בהר הרצל. מטעם המשפחה נמסר כי שוחחו עם גורמים במשרד הביטחון ש""התנערו מאחריות"", אך טרם נמסרה תגובה רשמית ממשרד הביטחון

@itamarvish",0,"08/10/2026 02:52",https://www.instagram.com/p/Db2vCSnlgUa/,"IG image",,Lifetime,166992,78711,4142,648,3,235,91
