תאריך,שעה,וידאו,סוג,כיתוב,קישור,צפיות,רשומים,לייקים,תגובות,שמירות,שיתופים,נקטע בגיליון,media_id
2026-06-10,12:12,לא,קרוסלה,"הישראלים מתכוננים למונדיאל 2026: הנתונים האחרונים מ-Google Trends חושפים עלייה של אלפי אחוזים בחיפושים בנושא ב-Google >>> @googleisrael 📸: AP/Natacha Pisarenko, DIETHER ENDLICHER, Bikas Das",https://www.instagram.com/p/DZZl_nmESlp/,38118,14995,389,1,25,18,לא,18103940068838661
2026-06-11,22:10,לא,תמונה,"ממקסיקו, ארה""ב וקנדה: מונדיאל 2026 יוצא לדרך! ⚽🏆 📷: AP",https://www.instagram.com/p/DZdPPdFCbBN/,80001,43674,1087,5,33,21,לא,18362380537238255
2026-06-13,14:48,כן,ריל,נראה שחצי מהקהילה היהודית במקסיקו הגיע למשחק הפתיחה של המונדיאל ⚽ כתבנו איציק זוארץ פגש את האוהדים המאושרים שיצאו מאצטדיון האצטקה עם ניצחון ראשון ביד 💪 @itsik_z,https://www.instagram.com/reel/DZhmOGEjTB_/,187923,130810,9638,181,367,2485,לא,18087343079378198
2026-06-13,15:55,כן,ריל,"לא חשדתי 👇 שוטרים בלימה, בירת פרו, הראו מחויבות מרשימה לתפקיד - ובעיקר יצירתיות - והגיעו למעצר של חשוד בסחר בסמים כשהם לבושים כמו שניים מקמעות המונדיאל: אייל קורא, המייצג את קנדה, ועיטם לבן-ראש, המייצג את ארצות הברית. קולונל המשטרה המקומית אמר כי ""הודות לעבודת המודיעין, הבנו שהאדם הזה הוא אוהד כדורגל מושבע. הוא חי את קדחת המונדיאל, אז הסווינו את אנשינו כקמעות המונדיאל כדי להגיע אליו ללא חשד, ללכוד אותו ולעצור אותו"". על פי כלי התקשורת המקומיים, ברשות החשוד נתפסו 2,524 חבילות של קוקאין ו-209 גרם מריחואנה, כמו גם נשק חם, תחמושת ומזומן. יחידת משטרה זו מרבה להלביש את אנשיה כדמויות מפורסמות בזמן ביצוע פעולות בתקופות כמו ליל כל הקדושים וחג המולד. בביצוע מעצרים בעבר התחפשו השוטרים לגיבורי על, לדמויות מסרטי אימה - ואפילו לקפיברה. מה דעתכם - ניצלו את תקציב המשטרה כראוי? @yechez.korn 📷: רויטרס",https://www.instagram.com/reel/DZht1DRDIZI/,202406,135467,2754,15,153,771,כן,18120488014664925
2026-06-13,23:29,כן,ריל,"תצוגת תכלית על מדים: שוטר בבוסטון שאחראי על אבטחת חגיגות המונדיאל, הפך לכוכב רשת אחרי שהדהים את האוהדים בסדרת הקפצות מפתיעה. @yechez.korn",https://www.instagram.com/reel/DZihzhkiMe0/,99671,66037,2130,13,48,91,לא,18397489990153518
2026-06-15,23:36,כן,ריל,הקהילה האיראנית בלוס אנג'לס יוצאת למחות נגד הנבחרת הכדורגל של ארצם עם דגלי איראן שלפני המהפכה - וגם עם דגלי ישראל @itsik_z,https://www.instagram.com/reel/DZnsK9kgNd0/,54126,39907,2095,46,60,105,לא,17872276995527495
2026-06-16,11:59,לא,תמונה,"בעקבות תיקו 0 היסטורי ⚽️ ז'וזימר ""ווז'יניה"" דיאס, שוער כף ורדה שהרשים אתמול במשחק מול נבחרת ספרד, גילה אתמול להפתעתו במהלך ריאיון כי נוספו לו מאות אלפי עוקבים חדשים. תוך יום השוער בן ה-40 כבר הגיע לכמעט שישה מיליון עוקבים באינסטגרם, לעומת 50,000 בלבד שהיו לו לפני המשחק מול ספרד כזכור, במשחקה הראשון במונדיאל אי פעם, הנבחרת הקטנה הצליחה לעמוד בגבורה מול ספרד ולסיים עם תוצאת תיקו 0 מול הקבוצה האימתנית שכבר ניצחה בעבר במונדיאל ונחשבת לאחת המובילות הבולטות להגיע לשלבים האחרונים במונדיאל (דב גיל-הר) 📸: AP, צילום מסך מהרשתות החברתיות",https://www.instagram.com/p/DZpBPjPgGOV/,100392,52647,1317,24,37,258,כן,18600519208004255
2026-06-16,17:11,לא,תמונה,"המונדיאל מגיע גם לאגפים ⚽ בתום הערכת מצב עם סגל הפיקוד הבכיר, נציב בתי הסוהר, רב גונדר קובי יעקובי, הנחה לאפשר לאסירים פליליים לצפות במשחקי המונדיאל גם בשעות המאוחרות, כחלק מיעד שיקום האסיר. עם זאת, הנציב הבהיר כי אירועי משמעת והפרות סדר יטופלו במשילות כליאתית מלאה (אורלי אלקלעי) התמונה נוצרה באמצעות AI ✨",https://www.instagram.com/p/DZpk8jEFfWo/,78572,43293,806,52,22,96,לא,18103387757012899
2026-06-16,21:51,כן,ריל,"בסיאטל דאגו שגם מי שלא היה באצטדיון ירגיש את המונדיאל: אחרי המשחק בין מצרים לבלגיה שהתקיים בעיר, הרחפנים עלו לשמיים והציגו את התוצאה בענק @itamar.margalit 📸: רויטרס",https://www.instagram.com/reel/DZqE7oclsfI/,79326,48596,1086,1,35,57,לא,18098540908936818
2026-06-16,22:48,כן,ריל,"גאווה ישראלית: איילה אוחנה, בת 13 מקצרין, הגישה לשופט את הכדור בפתיחת המשחק בין צרפת לסנגל במונדיאל. איילה אובחנה במחלה הנדירה גושה, והכדורגל והספורט עוזרים לה להתמודד עם התסמינים @anna.pines",https://www.instagram.com/reel/DZqLgDCDIgT/,269351,162128,12048,168,352,660,לא,18179267467398176
2026-06-18,22:48,כן,ריל,יום יבוא ונשחזר את ההישג? ככה התכוננה נבחרת ישראל למונדיאל 1970 ⚽,https://www.instagram.com/reel/DZvVCqxijSK/,164307,104748,3524,39,167,225,לא,18027688622830425
2026-06-19,13:22,לא,תמונה,"״חיכיתי למשפט הזה, סוף סוף אוכל לדבר״ 👇 בית משפט בצרפת הודיע כי הכדורגלן המרוקאי אשרף חכימי מקבוצת פריז סן-ז'רמן יעמוד לדין עבור אישומי אונס. חכימי הכחיש את המיוחס לו בציוץ ברשת X: ""אני חיכיתי למשפט הזה מהיום הראשון. עכשיו אני מצפה לו. סוף סוף, אוכל לדבר"" @ishay_bar_yosef @yoavborowitz 📸: reuters",https://www.instagram.com/p/DZw5JSJjeyw/,103532,52777,1433,52,50,315,לא,18567986611064987
2026-06-20,17:03,לא,קרוסלה,"בזמן שחלק מאוהדי הכדורגל משאירים אחריהם יציעים מטונפים, היפנים - שהם ככל הנראה האוהדים המנומסים ביותר בעולם - מקפידים להשאיר אותם נקיים יותר מכפי שקיבלו. אז למה יש מי שממש מתעצבן לראות את זה? 🤨 📷: Ap, X, Gemini-אילוסטרציה",https://www.instagram.com/p/DZz3N0PAYeC/,200574,100736,3543,24,99,184,לא,18101389409142255
2026-06-22,18:29,כן,ריל,"דאלאס הפכה לרגע לבואנוס איירס, ואז הגיע הצעיר שמאחורי אחד השירים המזוהים עם אוהדי ארגנטינה. בזמן שמיליונים שרים את הלהיט שלו ביציעים וברחובות, הוא עדיין מתקשה לעכל: ""זה הפתיע אותי"". הערב ב- 20:00 בכאן 11, ארגנטינה תפגוש את אוסטריה בהמשך המסע להגנה על התואר העולמי @itsik_z @",https://www.instagram.com/reel/DZ5KjDGII-H/,130417,89834,2703,15,141,212,לא,18084989426542808
2026-06-29,20:24,כן,ריל,"״כדורגל זה מחלה, זה בדם״: בגיל 96 אווה שוורץ עדיין צופה בכל משחק של נבחרת ברזיל, גם אם השעה מאוחרת וגם אם הם כבר לא טובים כמו הנבחרות הקודמות שעודדה במשך השנים. עכשיו היא כבר עושה זאת עם הנכדה שלה, קרן פיקר. וכן, אתם יכולים להיות בטוחים שהיא צופה גם עכשיו @eliorlevy",https://www.instagram.com/reel/DaLZSmMgb0U/,105654,76461,3682,62,122,500,לא,17944040343238929
2026-07-06,12:20,לא,קרוסלה,"כרטיס אדום, פנייה מהבית הלבן והחלטה חריגה של פיפ""א 👇 פיפ""א הקפיאה את עונש ההרחקה של חלוץ נבחרת ארה""ב פולארין באלוגון, והוא יוכל לשחק מול בלגיה בשמינית הגמר. לפי הדיווחים בסוכנויות AP ורויטרס, הבית הלבן פנה לנשיא פיפ""א ג'אני אינפנטינו כדי לבחון מחדש את הכרטיס האדום שקיבל. טראמפ בירך על ההחלטה וכתב כי פיפ""א עשתה את ""המעשה הנכון"" ותיקנה ""עוול גדול"". בהתאחדות הבלגית הביעו ""תדהמה"", טענו שההחלטה סותרת את התקנות והודיעו כי הם בוחנים את האפשרויות העומדות בפניהם. @ramelibrandts @ishay_bar_yosef 📸: REUTERS/Leah Millis, AP Photo/Jeff Chiu",https://www.instagram.com/p/DacjkVBjAQB/,71502,31113,693,18,19,76,כן,17989739010006189
2026-07-06,18:45,כן,ריל,"""זה מאוד לא הוגן!"" הנשיא טראמפ סיפק היום הצצה נדירה למעורבותו במונדיאל, כשהודה כי בתחילה לא הבין את משמעות הכרטיס האדום שספג כוכב הנבחרת פולארין באלוגון. ""לא ידעתי מה זה אומר, לא חשבתי שזה משמעותי"", הודה הנשיא, שגילה להפתעתו כי המשמעות היא הרחקה גם מהמשחק הבא. טראמפ לא נשאר אדיש להחלטה, וביקר בחריפות את הענישה: ""זה לא הוגן להעניש שחקן על משחק שעוד לא שוחק"", הצהיר. בעקבות כך אישר הנשיא כי פנה באופן אישי לפיפ""א בבקשה לבחון את ההחלטה מחדש - וזו אישרה את הקפאת הרחקתו של באלוגון @itamar.margalit 📸: רויטרס",https://www.instagram.com/reel/DadPiPRgYCO/,135255,96872,1865,83,109,1691,כן,17873599110534450
2026-07-07,11:35,לא,קרוסלה,"אחרי שטראמפ התקשר לנשיא פיפ""א כדי לבטל את האדום - בלגיה הדיחה את ארה""ב מהמונדיאל, וברשת לא מרחמים על הנשיא דב גיל-הר, @shalev.segal 📸: לפי סעיף 27א'",https://www.instagram.com/p/DafDK59iGxu/,86317,42581,1122,32,54,175,לא,17949057444198718
2026-07-07,21:57,כן,ריל,בגן צ'ארלס קלור שבתל אביב חגגו את הניצחון של ארגנטינה על מצרים במונדיאל @yoavborowitz,https://www.instagram.com/reel/DagKTVgGeTB/,462206,306827,32791,687,1076,9687,לא,18051411161772738
2026-07-09,11:25,לא,תמונה,"""נועה קירל בולמת את נבחרת ספרד"" 👇 השיר החדש של נועה קירל מעורר זעם בתקשורת הספרדית וברשתות החברתיות. בסרטון חדש ששחררה הזמרת לכבוד המונדיאל, היא מצולמת כשהיא לבושה במדי ארגנטינה, עוצרת בשער פנדלים של שחקן הלבוש במדי נבחרת ספרד. על רקע המתיחות הדיפלומטית הקיימת בין המדינות, בעקבות עמדתה הפרו-פלסטינית המובהקת של ממשלת ספרד, הקליפ התפרש במדינה כמתקפה פוליטית מכוונת. כלי תקשורת ועיתונאים ספרדים תקפו בחריפות את קירל ואת בן זוגה, השוער דניאל פרץ: ""תעמולה שמטרתה להלבין ברבריות"" הביקורת ברשתות לא איחרה לבוא, והיא הופנתה לא רק כלפי קירל, אלא גם כלפי בן זוגה, השוער דניאל פרץ. העיתונאית הספרדייה ליילה חאמד, המוכרת בעמדותיה הפרו-פלסטיניות, צייצה בחשבון ה-X שלה: ""הזמרת הישראלית נועה קירל שחררה סרטון שבו היא מתמודדת מול נבחרת ספרד ועוצרת את כל הפנדלים שלהם. כדאי לזכור שבן הזוג שלה הוא דניאל פרץ: השוער הגרוע ביותר של באיירן מינכן במאה הנוכחית, מחמם ספסל בהמבורג, ועכשיו שוער בצ'מפיונשיפ. מביך"". באתר החדשות הספרדי ""פובליקו"" המזוהה עם עמדות שמאל, נכתב מאמר חריף במיוחד תחת הכותרת: ""ציונות ואירועים מגוחכים הולכים יד ביד"". במאמר נטען כי הקליפ מהווה ""תעמולה של מדינה כושלת"" ומטרתו ""להלבין את הברבריות"". עוד נכתב כי התנועות והכוריאוגרפיה של קירל בקליפ הן ""מטאפורה לרצח קטינים בעזה ולכיבוש בלתי חוקי"" נכון לרגע זה, מטעמה של נועה קירל או מנציגיו של דניאל פרץ לא נמסרה תגובה רשמית למתקפות @amitharari8 📸: צילום מסך מתוך ערוץ היוטיוב של נועה קירל",https://www.instagram.com/p/DakLqzXkbSv/,224234,120504,1576,158,121,208,כן,17861775564648953
2026-07-10,09:35,לא,קרוסלה,"חברת ""צ'יפסי"" המצרית החליטה להפסיק לייצר אריזות צ'יפס עם תמונתו של מסי עליהן. הצעד הגיע בעקבות זעם במדינה על מסי ועל ארגנטינה, שהדיחה את מצרים מהמונדיאל. המצרים טוענים שהמשחק היה מוטה לטובת הארגנטינאים, והחלו להעלות לרשת תיעודים שלהם זורקים לפח את אריזות הצ'יפס עם תמונתו של כוכב הכדורגל. בנוסף, ידוענים מצרים קראו להחרים את מסי @roikais",https://www.instagram.com/p/Damj1C5giZx/,237861,107050,2920,335,169,1347,לא,18116889106890945
2026-07-10,11:03,כן,ריל,"""חמאס, חמאס, יהודים לגז"": אוהדי נבחרת מרוקו בהולנד בקריאות אנטישמיות והומופוביות, אחרי ההפסד אמש לצרפת במונדיאל @itamar.margalit @omershahar10",https://www.instagram.com/reel/Damt1x7CkWS/,150179,99856,1806,480,177,613,לא,18008871308931497
2026-07-11,16:49,לא,תמונה,"טרגדיה בדרום אפריקה: ג'יידן אדאמס, קשר הנבחרת ומאמלודי סאנדאונס, נמצא מת בגיל 25 זמן קצר לאחר שחזר מהמונדיאל. לפי דיווחים לא רשמיים, ייתכן ששם קץ לחייו, אך בשלב זה אין לכך אישור רשמי. @yoavborowitz 📸: AP",https://www.instagram.com/p/Dap6T97jXkJ/,217966,111350,3181,41,127,597,לא,18121889305761367
2026-07-14,09:45,לא,תמונה,"כוכב המונדיאל הנורווגי ארלינג האלנד חזר הביתה עם מזכרת ייחודית: פוחלץ של דביבון שאוחז בבקבוק ויסקי. האלנד רכש את הדביבון בחנות מקומית בטקסס, ומאז הוא מעלה תמונות שלו לרשתות החברתיות - שכבר זכו לעשרות מיליוני צפיות. הגולשים לא נשארו אדישים, ופוחלצי הדביבון אזלו מהמדפים בחנות בטקסס. בחנות פועלים לייצור פוחלצים נוספים (דב גיל-הר) 📸: מתוך רשת X",https://www.instagram.com/p/Daw0HAICagc/,122996,66743,1828,30,62,271,לא,17936223585090207
2026-07-14,22:12,כן,ריל,לא לקחת ללב: אוהדים שרופים? אתם בסיכון להתקפי לב בתקופת המונדיאל @nov_reuveny,https://www.instagram.com/reel/DayNlKfGbHa/,44428,28005,731,23,51,230,לא,17925969174380231
